candidate_id,candidate_name,congbio_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
AR0040,"Ayley, Richard",NA,NA,NA,NA,NA
AR0043,"Alden, Roger",NA,NA,NA,NA,NA
AR0051,"Allison, Robert",NA,NA,NA,NA,NA
AR0060,"Allen, Robert",A000142,"Allen, Robert",1778,1844,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000142
AR0063,"Anderson, Robert",NA,NA,NA,NA,NA
AR0064,"Allen, Robert",NA,NA,NA,NA,NA
AR0065,"Abercrombie, Robert",NA,NA,NA,NA,NA
AR0068,"Adams, Rufus",NA,NA,NA,NA,NA
AS0009,"Abbot, Samuel",NA,NA,NA,NA,NA
AS0013,"Archer, Stevenson",A000273,"Archer, Stevenson",1786,1848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000273
AS0022,"Adams, Samuel",NA,NA,NA,NA,NA
AS0024,"Allen, Samuel C.",A000146,"Allen, Samuel Clesson",1772,1842,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000146
AS0025,"Angier, Samuel",NA,NA,NA,NA,NA
AS0036,"Austin, Samuel",NA,NA,NA,NA,NA
AS0038,"Ashe, Samuel",NA,NA,NA,NA,NA
AS0041,"Andrews, Seth",NA,NA,NA,NA,NA
AS0052,"Arnold, Stephen",NA,NA,NA,NA,NA
AS0063,"Allen, Samuel",NA,NA,NA,NA,NA
AS0065,"Alexander, S.",NA,NA,NA,NA,NA
AS0074,"Arnel, Stephen",NA,NA,NA,NA,NA
AS0082,"Axtell, Silas",NA,NA,NA,NA,NA
AS0083,"Adams, Simon",NA,NA,NA,NA,NA
AS0084,"Aikens, Solomon",NA,NA,NA,NA,NA
AS0085,"Arnold, Samuel",NA,NA,NA,NA,NA
AS0092,"Ambrose, Stephen",NA,NA,NA,NA,NA
AT0014,"Andrews, Thomas",NA,NA,NA,NA,NA
AT0015,"Alden, Timothy",NA,NA,NA,NA,NA
AT0016,"Adams, Thomas",NA,NA,NA,NA,NA
AT0017,"Adams, Thomas B.",NA,NA,NA,NA,NA
AT0018,"Allen, Thomas",NA,NA,NA,NA,NA
AT0043,"Arnold, Thomas",NA,NA,NA,NA,NA
AT0047,"Arnold, T.D.",NA,NA,NA,NA,NA
AT0055,"Auger, Titus",NA,NA,NA,NA,NA
AT0057,"Allen, Timothy",NA,NA,NA,NA,NA
AT0059,"Abbot, Thomas S.",NA,NA,NA,NA,NA
AV0000,"Allen, Vine",NA,NA,NA,NA,NA
AV0002,"Allen, Vincent",NA,NA,NA,NA,NA
AW0008,"Avery, William",NA,NA,NA,NA,NA
AW0011,"Abbott, William",NA,NA,NA,NA,NA
AW0013,"Allen, William, Jr.",NA,NA,NA,NA,NA
AW0014,"Aikins, William",NA,NA,NA,NA,NA
AW0018,"Avery, Waightstill",NA,NA,NA,NA,NA
AW0039,"Anderson, William",A000235,"Anderson, William",1762,1829,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000235
AW0040,"Atkinson, William K.",NA,NA,NA,NA,NA
AW0043,"Adams, W.",NA,NA,NA,NA,NA
AW0046,"Angel, William G.",A000256,"Angel, William G.",1790,1858,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000256
AW0047,"Alston, Willis",A000167,"Alston, Willis",1769,1837,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000167
AW0049,"Arnold, William",NA,NA,NA,NA,NA
AW0063,"Almy, William",NA,NA,NA,NA,NA
AW0086,"Avery, William",NA,NA,NA,NA,NA
AW0093,"Anderson, William T.",NA,NA,NA,NA,NA
AW0096,"Anderson, William",NA,NA,NA,NA,NA
AW0097,"Alexander, William",NA,NA,NA,NA,NA
AW0109,"Adams, William",A000053,"Addams, William",1777,1858,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000053
AW0115,"Allen, William C.",NA,NA,NA,NA,NA
AW0142,"Anderson, William",NA,NA,NA,NA,NA
AW0165,"Archer, William S.",A000275,"Archer, William Segar",1789,1855,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000275
AW0172,"Armstrong, William",A000284,"Armstrong, William",1782,1865,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000284
BA0000,"Bagby, Arthur P.",NA,NA,NA,NA,NA
BA0002,"Bacon, Asa, Jr.",NA,NA,NA,NA,NA
BA0010,"Blake, A.",NA,NA,NA,NA,NA
BA0012,NA,B001086,"Burke, Aedanus",1743,1802,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001086
BA0013,"Boone, Alexander",NA,NA,NA,NA,NA
BA0017,"Bowers, Andrew",NA,NA,NA,NA,NA
BA0022,"Brown, Abraham",NA,NA,NA,NA,NA
BA0023,"Barrett, Andrew",NA,NA,NA,NA,NA
BA0026,"Baldwin, Abraham",B000084,"Baldwin, Abraham",1754,1807,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000084
BA0048,"Butler, Anthony",NA,NA,NA,NA,NA
BA0049,"Bennett, Aaron",NA,NA,NA,NA,NA
BA0090,"Burt, Abel",NA,NA,NA,NA,NA
BA0092,"Babbit, Abel",NA,NA,NA,NA,NA
BA0100,"Bloodgood, Abraham",NA,NA,NA,NA,NA
BA0103,"Backus, Albert",NA,NA,NA,NA,NA
BA0104,"Baldwin, Amos",NA,NA,NA,NA,NA
BA0105,"Bigelow, Abraham",NA,NA,NA,NA,NA
BA0106,"Bigelow, Abijah",B000453,"Bigelow, Abijah",1775,1860,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000453
BA0108,"Bradford, Alden",NA,NA,NA,NA,NA
BA0122,"Boyd, Adam",B000714,"Boyd, Adam",1746,1835,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000714
BA0128,"Backus, Andrew",NA,NA,NA,NA,NA
BA0133,"Breese, Arthur",NA,NA,NA,NA,NA
BA0134,"Burr, Aaron",B001133,"Burr, Aaron",1756,1836,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001133
BA0135,"Barstow, Andrew A.",NA,NA,NA,NA,NA
BA0139,"Budlong, Aaron",NA,NA,NA,NA,NA
BA0140,"Boyd, Alexander",B000715,"Boyd, Alexander",1764,1857,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000715
BA0143,"Bockee, Abraham",NA,NA,NA,NA,NA
BA0147,"Blanchard, Anthony I.",NA,NA,NA,NA,NA
BA0154,"Bushnell, Alvin",NA,NA,NA,NA,NA
BA0157,"Brown, Anton",NA,NA,NA,NA,NA
BA0182,"Bentley, Adamson",NA,NA,NA,NA,NA
BA0224,"Boyce, Amos",NA,NA,NA,NA,NA
BA0228,"Boden, Andrew",B000583,"Boden, Andrew",NA,1835,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000583
BA0234,"Brown, Abraham",NA,NA,NA,NA,NA
BA0246,"Barney, Aaron",NA,NA,NA,NA,NA
BA0249,"Barnum, Amos W.",NA,NA,NA,NA,NA
BA0250,"Butler, Asaph",NA,NA,NA,NA,NA
BA0251,"Basman, Amos W.",NA,NA,NA,NA,NA
BA0252,"Brown, Amos",NA,NA,NA,NA,NA
BA0255,"Brown, Andrew",NA,NA,NA,NA,NA
BA0258,"Brittin, Abraham",NA,NA,NA,NA,NA
BA0265,"Buttle, Andrew",NA,NA,NA,NA,NA
BA0282,"Buck, Amasa",NA,NA,NA,NA,NA
BA0283,"Brackett, Adino N.",NA,NA,NA,NA,NA
BA0288,"Britton, Abrathar G.",NA,NA,NA,NA,NA
BA0314,"Brown, Asa",NA,NA,NA,NA,NA
BB0013,"Bourne, Benjamin",B000669,"Bourne, Benjamin",1755,1808,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000669
BB0014,"Brady, Benjamin",NA,NA,NA,NA,NA
BB0015,"Best, Bryant",NA,NA,NA,NA,NA
BB0019,"Bartlett, Bailey",B000198,"Bartlett, Bailey",1750,1830,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000198
BB0020,"Brown, Benjamin",B000904,"Brown, Benjamin",1756,1831,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000904
BB0021,"Burnell, Barker",NA,NA,NA,NA,NA
BB0023,"Bellows, Benjamin",NA,NA,NA,NA,NA
BB0028,"Brooks, Bowyer",NA,NA,NA,NA,NA
BB0029,"Butler, Benjamin",NA,NA,NA,NA,NA
BB0035,"Bennett, Benjamin",B000368,"Bennet, Benjamin",1764,1840,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000368
BB0038,"Burt, Benjamin",NA,NA,NA,NA,NA
BB0047,"Blydenburgh, Benjamin B.",NA,NA,NA,NA,NA
BB0053,"Bucknell, Bennett",NA,NA,NA,NA,NA
BB0057,"Bidwell, Barnabus",B000446,"Bidwell, Barnabas",1763,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000446
BB0080,"Brandon, B.",NA,NA,NA,NA,NA
BB0081,"Bishop, Bethuel",NA,NA,NA,NA,NA
BB0082,"Bass, Benjamin",NA,NA,NA,NA,NA
BB0099,"Bassett, Burwell",B000224,"Bassett, Burwell",1764,1841,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000224
BB0100,"Brockway, Beaman",NA,NA,NA,NA,NA
BB0101,"Ball, Burgess",NA,NA,NA,NA,NA
BB0104,"Brooks, Benedict",NA,NA,NA,NA,NA
BB0111,"Barton, Benjamin",NA,NA,NA,NA,NA
BB0119,"Ballou, Benjamin",NA,NA,NA,NA,NA
