congbio_id,candidate_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
B000477,BJ0683,"Bird, John",1768,1806,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000477
B000482,BJ0757,"Birdsall, James",1783,1856,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000482
B000484,BV0010,"Birdseye, Victory",1782,1853,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000484
B000488,BP0031,"Bishop, Phanuel",1739,1812,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000488
B000511,BW0216,"Blackledge, William",NA,1828,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000511
B000512,ZZ0002,"Blackledge, William Salter",1793,1856,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000512
B000526,BJ0133,"Blair, James",1790,1834,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000526
B000528,BJ1418,"Blair, John",1790,1863,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000528
B000530,BD0070,"Blaisdell, Daniel",1762,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000530
B000533,BJ0770,"Blake, John, Jr.",1762,1826,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000533
B000546,BT0254,"Bland, Theodorick",1742,1790,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000546
B000554,BJ0210,"Bledsoe, Jesse",1776,1836,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000554
B000555,BH0050,"Bleecker, Harmanus",1779,1849,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000555
B000563,BT0199,"Bloodworth, Timothy",1736,1814,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000563
B000566,BJ0589,"Bloomfield, Joseph",1753,1823,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000566
B000569,BT0194,"Blount, Thomas",1759,1812,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000569
B000570,BW0403,"Blount, William",1749,1800,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000570
B000571,NA,"Blount, William Grainger",1784,1827,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000571
B000577,BE0019,"Boardman, Elijah",1760,1823,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000577
B000583,BA0228,"Boden, Andrew",NA,1835,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000583
B000628,BR0010,"Boon, Ratliff",1781,1844,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000628
B000641,BC0070,"Borland, Charles, Jr.",1786,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000641
B000650,BJ0012,"Boss, John Linscom, Jr.",1780,1819,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000650
B000660,BT0242,"Boude, Thomas",1752,1822,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000660
B000661,BE0179,"Boudinot, Elias",1740,1821,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000661
B000664,BD0030,"Bouligny, Charles Dominique Joseph",1773,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000664
B000669,BB0013,"Bourne, Benjamin",1755,1808,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000669
B000671,BS0036,"Bourne, Shearjashub",1746,1806,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000671
