election_id,election_office,state,congress,district,year,election_type,election_label
ct.congress.1818,U.S. House of Representatives,CT,16,NA,1818,General,Connecticut 1818 U.S. House of Representatives
ct.special.congress.1818,U.S. House of Representatives,CT,16,NA,NA,NA,NA
ct.nomination.congress.1818,U.S. House of Representatives,CT,16,NA,NA,NA,NA
ct.uscongress.1821,U.S. House of Representatives,CT,NA,NA,1821,General,Connecticut 1821 U.S. House of Representatives
ct.uscongress.1823,U.S. House of Representatives,CT,NA,NA,1823,General,Connecticut 1823 U.S. House of Representatives
ct.uscongress.1825,U.S. House of Representatives,CT,NA,NA,1825,General,Connecticut 1825 U.S. House of Representatives
de.uscongress.1789,U.S. House of Representatives,DE,1,NA,1789,General,Delaware 1789 U.S. House of Representatives
de.uscongress.1790,U.S. House of Representatives,DE,2,NA,1790,General,Delaware 1790 U.S. House of Representatives
de.uscongress.1792,U.S. House of Representatives,DE,3,NA,1792,General,Delaware 1792 U.S. House of Representatives
de.uscongress.1794,U.S. House of Representatives,DE,4,NA,1794,General,Delaware 1794 U.S. House of Representatives
de.uscongress.1796,U.S. House of Representatives,DE,5,NA,1796,General,Delaware 1796 U.S. House of Representatives
de.uscongress.1798,U.S. House of Representatives,DE,6,NA,1798,General,Delaware 1798 U.S. House of Representatives
de.uscongress.1800,U.S. House of Representatives,DE,7,NA,1800,General,Delaware 1800 U.S. House of Representatives
de.uscongress.1802,U.S. House of Representatives,DE,8,NA,1802,General,Delaware 1802 U.S. House of Representatives
de.uscongress.1804,U.S. House of Representatives,DE,9,NA,1804,General,Delaware 1804 U.S. House of Representatives
de.uscongress.1805,U.S. House of Representatives,DE,9,NA,1805,Special,"Delaware 1805 U.S. House of Representatives, Special"
de.uscongress.1806,U.S. House of Representatives,DE,10,NA,1806,General,Delaware 1806 U.S. House of Representatives
de.uscongress.1807,U.S. House of Representatives,DE,10,NA,1807,Special,"Delaware 1807 U.S. House of Representatives, Special"
de.uscongress.1808,U.S. House of Representatives,DE,11,NA,1808,General,Delaware 1808 U.S. House of Representatives
de.uscongress.1810,U.S. House of Representatives,DE,12,NA,1810,General,Delaware 1810 U.S. House of Representatives
de.uscongress.1812,U.S. House of Representatives,DE,13,NA,1812,General,Delaware 1812 U.S. House of Representatives
de.uscongress.1814,U.S. House of Representatives,DE,14,NA,1814,General,Delaware 1814 U.S. House of Representatives
de.uscongress.1816,U.S. House of Representatives,DE,15,NA,1816,General,Delaware 1816 U.S. House of Representatives
de.uscongress.1818,U.S. House of Representatives,DE,16,NA,1818,General,Delaware 1818 U.S. House of Representatives
de.uscongress.1820,U.S. House of Representatives,DE,17,NA,1820,General,Delaware 1820 U.S. House of Representatives
de.uscongressspecial.1822,U.S. House of Representatives,DE,17,NA,NA,NA,NA
de.uscongress.1822,U.S. House of Representatives,DE,18,NA,1822,General,Delaware 1822 U.S. House of Representatives
de.uscongress.1824,U.S. House of Representatives,DE,19,NA,1824,General,Delaware 1824 U.S. House of Representatives
ga.uscongress.lowerdistrict.1789,U.S. House of Representatives,GA,1,1,1789,General,"Georgia 1789 U.S. House of Representatives, Lower District"
ga.uscongress.middledistrict.1789,U.S. House of Representatives,GA,1,2,1789,General,"Georgia 1789 U.S. House of Representatives, Middle District"
ga.uscongress.upperdistrict.1789,U.S. House of Representatives,GA,1,3,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District"
ga.uscongress.SouthernDistrict.1791,U.S. House of Representatives,GA,2,1,1791,General,"Georgia 1791 U.S. House of Representatives, Southern District"
ga.uscongress.special.1792,U.S. House of Representatives,GA,2,1,NA,NA,NA
ga.uscongress.MiddleDistrict.1791,U.S. House of Representatives,GA,2,2,1791,General,"Georgia 1791 U.S. House of Representatives, Middle District"
ga.uscongress.NorthernDistrict.1791,U.S. House of Representatives,GA,2,3,1791,General,"Georgia 1791 U.S. House of Representatives, Northern District"
ga.uscongress.1792,U.S. House of Representatives,GA,3,NA,1792,General,Georgia 1792 U.S. House of Representatives
ga.uscongress.1795,U.S. House of Representatives,GA,4,NA,1795,General,Georgia 1795 U.S. House of Representatives
ga.uscongress.1796,U.S. House of Representatives,GA,5,NA,1796,General,Georgia 1796 U.S. House of Representatives
ga.uscongress.1798,U.S. House of Representatives,GA,6,NA,1798,General,Georgia 1798 U.S. House of Representatives
ga.uscongress.1800,U.S. House of Representatives,GA,7,NA,1800,General,Georgia 1800 U.S. House of Representatives
ga.uscongress.1801,U.S. House of Representatives,GA,7,NA,1801,Special,"Georgia 1801 U.S. House of Representatives, Special"
ga.specialuscongress1.1802,U.S. House of Representatives,GA,7,NA,NA,NA,NA
ga.specialuscongress2.1802,U.S. House of Representatives,GA,7,NA,NA,NA,NA
ga.uscongress.1802,U.S. House of Representatives,GA,8,NA,1802,General,Georgia 1802 U.S. House of Representatives
ga.uscongress.1803,U.S. House of Representatives,GA,8,NA,1803,Special,"Georgia 1803 U.S. House of Representatives, Special"
ga.uscongress.1804,U.S. House of Representatives,GA,9,NA,1804,General,Georgia 1804 U.S. House of Representatives
ga.specialuscongress1.1806,U.S. House of Representatives,GA,9,NA,NA,NA,NA
ga.specialuscongress2.1806,U.S. House of Representatives,GA,9,NA,NA,NA,NA
ga.uscongress.1806,U.S. House of Representatives,GA,10,NA,1806,General,Georgia 1806 U.S. House of Representatives
ga.uscongress.1808,U.S. House of Representatives,GA,11,NA,1808,General,Georgia 1808 U.S. House of Representatives
ga.uscongress.1810,U.S. House of Representatives,GA,12,NA,1810,General,Georgia 1810 U.S. House of Representatives
ga.uscongress.special.1812,U.S. House of Representatives,GA,12,NA,NA,NA,NA
ga.uscongress.1812,U.S. House of Representatives,GA,13,NA,1812,General,Georgia 1812 U.S. House of Representatives
ga.uscongress.special.1813,U.S. House of Representatives,GA,13,NA,NA,NA,NA
ga.uscongress.1814,U.S. House of Representatives,GA,14,NA,1814,General,Georgia 1814 U.S. House of Representatives
ga.specialuscongress.1816,U.S. House of Representatives,GA,14,NA,NA,NA,NA
ga.uscongress.1816,U.S. House of Representatives,GA,15,NA,1816,General,Georgia 1816 U.S. House of Representatives
ga.uscongress.special1.1819,U.S. House of Representatives,GA,15,NA,NA,NA,NA
ga.uscongress.1818,U.S. House of Representatives,GA,16,NA,1818,General,Georgia 1818 U.S. House of Representatives
ga.uscongress.special2.1819,U.S. House of Representatives,GA,16,NA,NA,NA,NA
ga.uscongress.1820,U.S. House of Representatives,GA,17,NA,1820,General,Georgia 1820 U.S. House of Representatives
ga.uscongress.1822,U.S. House of Representatives,GA,18,NA,1822,General,Georgia 1822 U.S. House of Representatives
ga.uscongress.special.1824,U.S. House of Representatives,GA,18,NA,NA,NA,NA
ga.uscongress.1824,U.S. House of Representatives,GA,19,NA,1824,General,Georgia 1824 U.S. House of Representatives
il.uscongress.1818,U.S. House of Representatives,IL,16,NA,1818,General,Illinois 1818 U.S. House of Representatives
il.uscongress.1819,U.S. House of Representatives,IL,16,NA,1819,Special,"Illinois 1819 U.S. House of Representatives, Special"
il.uscongress.1820,U.S. House of Representatives,IL,17,NA,1820,General,Illinois 1820 U.S. House of Representatives
il.uscongress.1822,U.S. House of Representatives,IL,18,NA,1822,General,Illinois 1822 U.S. House of Representatives
il.uscongress.1824,U.S. House of Representatives,IL,19,NA,1824,General,Illinois 1824 U.S. House of Representatives
in.uscongress.1816,U.S. House of Representatives,IN,15,NA,1816,General,Indiana 1816 U.S. House of Representatives
in.uscongress.1817,U.S. House of Representatives,IN,15,NA,1817,General,Indiana 1817 U.S. House of Representatives
in.uscongress.1818,U.S. House of Representatives,IN,16,NA,1818,General,Indiana 1818 U.S. House of Representatives
in.uscongress.1820,U.S. House of Representatives,IN,17,NA,1820,General,Indiana 1820 U.S. House of Representatives
in.uscongress.special.1822,U.S. House of Representatives,IN,17,NA,NA,NA,NA
in.usrepresentative.1st.1822,U.S. House of Representatives,IN,18,1,NA,NA,NA
in.usrepresentative.1st.special.1824,U.S. House of Representatives,IN,18,1,NA,NA,NA
in.usrepresentative.2nd.1822,U.S. House of Representatives,IN,18,2,NA,NA,NA
in.usrepresentative.3rd.1822,U.S. House of Representatives,IN,18,3,NA,NA,NA
in.usrepresentative.1st.1824,U.S. House of Representatives,IN,19,1,NA,NA,NA
in.usrepresentative.2nd.1824,U.S. House of Representatives,IN,19,2,NA,NA,NA
in.usrepresentative.3rd.1824,U.S. House of Representatives,IN,19,3,NA,NA,NA
ky.uscongresssoutherndistrict.1792,U.S. House of Representatives,KY,3,1,1792,General,"Kentucky 1792 U.S. House of Representatives, Southern District"
ky.uscongressnortherndistrict.1792,U.S. House of Representatives,KY,3,2,1792,General,"Kentucky 1792 U.S. House of Representatives, Northern District"
ky.uscongresssoutherndistrict.1796,U.S. House of Representatives,KY,5,1,1796,General,"Kentucky 1796 U.S. House of Representatives, Southern District"
ky.uscongressnortherndistrict.1796,U.S. House of Representatives,KY,5,2,1796,General,"Kentucky 1796 U.S. House of Representatives, Northern District"
ky.uscongresssoutherndistrict.1799,U.S. House of Representatives,KY,6,1,1799,General,"Kentucky 1799 U.S. House of Representatives, Southern District"
ky.uscongressnortherndistrict.1799,U.S. House of Representatives,KY,6,2,1799,General,"Kentucky 1799 U.S. House of Representatives, Northern District"
ky.uscongresssoutherndistrict.1801,U.S. House of Representatives,KY,7,1,1801,General,"Kentucky 1801 U.S. House of Representatives, Southern District"
ky.uscongressnortherndistrict.1801,U.S. House of Representatives,KY,7,2,1801,General,"Kentucky 1801 U.S. House of Representatives, Northern District"
ky.uscongress1.1803,U.S. House of Representatives,KY,8,1,1803,General,"Kentucky 1803 U.S. House of Representatives, District 1"
ky.uscongress2.1803,U.S. House of Representatives,KY,8,2,1803,General,"Kentucky 1803 U.S. House of Representatives, District 2"
ky.uscongress3.1803,U.S. House of Representatives,KY,8,3,1803,General,"Kentucky 1803 U.S. House of Representatives, District 3"
ky.uscongress4.1803,U.S. House of Representatives,KY,8,4,1803,General,"Kentucky 1803 U.S. House of Representatives, District 4"
ky.uscongress5.1803,U.S. House of Representatives,KY,8,5,1803,General,"Kentucky 1803 U.S. House of Representatives, District 5"
ky.uscongress6.1803,U.S. House of Representatives,KY,8,6,1803,General,"Kentucky 1803 U.S. House of Representatives, District 6"
ky.uscongress1.1804,U.S. House of Representatives,KY,9,1,1804,General,"Kentucky 1804 U.S. House of Representatives, District 1"
ky.uscongress2.1804,U.S. House of Representatives,KY,9,2,1804,General,"Kentucky 1804 U.S. House of Representatives, District 2"
ky.uscongress3.1804,U.S. House of Representatives,KY,9,3,1804,General,"Kentucky 1804 U.S. House of Representatives, District 3"
ky.uscongress4.1804,U.S. House of Representatives,KY,9,4,1804,General,"Kentucky 1804 U.S. House of Representatives, District 4"
ky.uscongress5.1804,U.S. House of Representatives,KY,9,5,1804,General,"Kentucky 1804 U.S. House of Representatives, District 5"
ky.uscongress6.1804,U.S. House of Representatives,KY,9,6,1804,General,"Kentucky 1804 U.S. House of Representatives, District 6"
ky.uscongress1.1806,U.S. House of Representatives,KY,10,1,1806,General,"Kentucky 1806 U.S. House of Representatives, District 1"
ky.uscongress2.1806,U.S. House of Representatives,KY,10,2,1806,General,"Kentucky 1806 U.S. House of Representatives, District 2"
ky.uscongress3.1806,U.S. House of Representatives,KY,10,3,1806,General,"Kentucky 1806 U.S. House of Representatives, District 3"
ky.uscongress4.1806,U.S. House of Representatives,KY,10,4,1806,General,"Kentucky 1806 U.S. House of Representatives, District 4"
ky.uscongress5.1806,U.S. House of Representatives,KY,10,5,1806,General,"Kentucky 1806 U.S. House of Representatives, District 5"
ky.uscongress6.1806,U.S. House of Representatives,KY,10,6,1806,General,"Kentucky 1806 U.S. House of Representatives, District 6"
ky.uscongress1.1808,U.S. House of Representatives,KY,11,1,NA,NA,NA
ky.uscongress2.1808,U.S. House of Representatives,KY,11,2,1808,General,"Kentucky 1808 U.S. House of Representatives, District 2"
ky.uscongress3.1808,U.S. House of Representatives,KY,11,3,1808,General,"Kentucky 1808 U.S. House of Representatives, District 3"
ky.uscongress4.1808,U.S. House of Representatives,KY,11,4,1808,General,"Kentucky 1808 U.S. House of Representatives, District 4"
ky.uscongress5.1808,U.S. House of Representatives,KY,11,5,1808,General,"Kentucky 1808 U.S. House of Representatives, District 5"
ky.uscongress5.1810.special,U.S. House of Representatives,KY,11,5,NA,NA,NA
ky.uscongress6.1808,U.S. House of Representatives,KY,11,6,1808,General,"Kentucky 1808 U.S. House of Representatives, District 6"
ky.uscongress1.1810,U.S. House of Representatives,KY,12,1,NA,NA,NA
ky.uscongress2.1810,U.S. House of Representatives,KY,12,2,NA,NA,NA
ky.uscongress3.1810,U.S. House of Representatives,KY,12,3,NA,NA,NA
ky.uscongress4.1810,U.S. House of Representatives,KY,12,4,1810,General,"Kentucky 1810 U.S. House of Representatives, District 4"
ky.uscongress5.1810,U.S. House of Representatives,KY,12,5,NA,NA,NA
ky.uscongress6.1810,U.S. House of Representatives,KY,12,6,1810,General,"Kentucky 1810 U.S. House of Representatives, District 6"
ky.uscongress1.1812,U.S. House of Representatives,KY,13,1,1812,General,"Kentucky 1812 U.S. House of Representatives, District 1"
ky.uscongress2.1812,U.S. House of Representatives,KY,13,2,1812,General,"Kentucky 1812 U.S. House of Representatives, District 2"
ky.specialelectionuscongress2.1814,U.S. House of Representatives,KY,13,2,NA,NA,NA
ky.uscongress3.1812,U.S. House of Representatives,KY,13,3,1812,General,"Kentucky 1812 U.S. House of Representatives, District 3"
ky.uscongress4.1812,U.S. House of Representatives,KY,13,4,1812,General,"Kentucky 1812 U.S. House of Representatives, District 4"
ky.uscongress5.1812,U.S. House of Representatives,KY,13,5,1812,General,"Kentucky 1812 U.S. House of Representatives, District 5"
ky.uscongress6.1812,U.S. House of Representatives,KY,13,6,1812,General,"Kentucky 1812 U.S. House of Representatives, District 6"
ky.uscongress7.1812,U.S. House of Representatives,KY,13,7,1812,General,"Kentucky 1812 U.S. House of Representatives, District 7"
ky.uscongress8.1812,U.S. House of Representatives,KY,13,8,1812,General,"Kentucky 1812 U.S. House of Representatives, District 8"
ky.uscongress8.special.1813,U.S. House of Representatives,KY,13,8,NA,NA,NA
ky.uscongress9.1812,U.S. House of Representatives,KY,13,9,NA,NA,NA
ky.uscongress10.1812,U.S. House of Representatives,KY,13,10,1812,General,"Kentucky 1812 U.S. House of Representatives, District 10"
ky.uscongress1.1814,U.S. House of Representatives,KY,14,1,1814,General,"Kentucky 1814 U.S. House of Representatives, District 1"
ky.specialuscongress1.1816,U.S. House of Representatives,KY,14,1,NA,NA,NA
ky.uscongress2.1814,U.S. House of Representatives,KY,14,2,1814,General,"Kentucky 1814 U.S. House of Representatives, District 2"
ky.uscongress2.special.1815,U.S. House of Representatives,KY,14,2,NA,NA,NA
ky.uscongress3.1814,U.S. House of Representatives,KY,14,3,1814,General,"Kentucky 1814 U.S. House of Representatives, District 3"
ky.uscongress4.1814,U.S. House of Representatives,KY,14,4,1814,General,"Kentucky 1814 U.S. House of Representatives, District 4"
ky.uscongress5.1814,U.S. House of Representatives,KY,14,5,1814,General,"Kentucky 1814 U.S. House of Representatives, District 5"
ky.uscongress6.1814,U.S. House of Representatives,KY,14,6,1814,General,"Kentucky 1814 U.S. House of Representatives, District 6"
ky.uscongress7.1814,U.S. House of Representatives,KY,14,7,1814,General,"Kentucky 1814 U.S. House of Representatives, District 7"
ky.uscongress8.1814,U.S. House of Representatives,KY,14,8,1814,General,"Kentucky 1814 U.S. House of Representatives, District 8"
ky.uscongress9.1814,U.S. House of Representatives,KY,14,9,NA,NA,NA
ky.uscongress10.1814,U.S. House of Representatives,KY,14,10,1814,General,"Kentucky 1814 U.S. House of Representatives, District 10"
ky.uscongress1.1816,U.S. House of Representatives,KY,15,1,1816,General,"Kentucky 1816 U.S. House of Representatives, District 1"
ky.uscongress2.1816,U.S. House of Representatives,KY,15,2,1816,General,"Kentucky 1816 U.S. House of Representatives, District 2"
ky.uscongress3.1816,U.S. House of Representatives,KY,15,3,1816,General,"Kentucky 1816 U.S. House of Representatives, District 3"
ky.uscongress4.1816,U.S. House of Representatives,KY,15,4,1816,General,"Kentucky 1816 U.S. House of Representatives, District 4"
ky.uscongress5.1816,U.S. House of Representatives,KY,15,5,1816,General,"Kentucky 1816 U.S. House of Representatives, District 5"
ky.uscongress6.1816,U.S. House of Representatives,KY,15,6,1816,General,"Kentucky 1816 U.S. House of Representatives, District 6"
ky.uscongress7.1816,U.S. House of Representatives,KY,15,7,1816,General,"Kentucky 1816 U.S. House of Representatives, District 7"
ky.uscongress8.1816,U.S. House of Representatives,KY,15,8,1816,General,"Kentucky 1816 U.S. House of Representatives, District 8"
ky.uscongress9.1816,U.S. House of Representatives,KY,15,9,1816,General,"Kentucky 1816 U.S. House of Representatives, District 9"
ky.uscongress10.1816,U.S. House of Representatives,KY,15,10,1816,General,"Kentucky 1816 U.S. House of Representatives, District 10"
ky.uscongress1.1818,U.S. House of Representatives,KY,16,1,1818,General,"Kentucky 1818 U.S. House of Representatives, District 1"
ky.uscongress2.1818,U.S. House of Representatives,KY,16,2,1818,General,"Kentucky 1818 U.S. House of Representatives, District 2"
ky.uscongress3.1818,U.S. House of Representatives,KY,16,3,1818,General,"Kentucky 1818 U.S. House of Representatives, District 3"
ky.uscongress4.1818,U.S. House of Representatives,KY,16,4,1818,General,"Kentucky 1818 U.S. House of Representatives, District 4"
ky.uscongress5.1818,U.S. House of Representatives,KY,16,5,1818,General,"Kentucky 1818 U.S. House of Representatives, District 5"
ky.uscongress6.1818,U.S. House of Representatives,KY,16,6,1818,General,"Kentucky 1818 U.S. House of Representatives, District 6"
ky.uscongress7.1818,U.S. House of Representatives,KY,16,7,1818,General,"Kentucky 1818 U.S. House of Representatives, District 7"
ky.uscongress8.1818,U.S. House of Representatives,KY,16,8,1818,General,"Kentucky 1818 U.S. House of Representatives, District 8"
ky.uscongress9.1818,U.S. House of Representatives,KY,16,9,1818,General,"Kentucky 1818 U.S. House of Representatives, District 9"
ky.uscongress10.1818,U.S. House of Representatives,KY,16,10,1818,General,"Kentucky 1818 U.S. House of Representatives, District 10"
ky.uscongress1.1820,U.S. House of Representatives,KY,17,1,1820,General,"Kentucky 1820 U.S. House of Representatives, District 1"
ky.uscongress2.1820,U.S. House of Representatives,KY,17,2,1820,General,"Kentucky 1820 U.S. House of Representatives, District 2"
ky.uscongress3.1820,U.S. House of Representatives,KY,17,3,1820,General,"Kentucky 1820 U.S. House of Representatives, District 3"
ky.uscongress4.1820,U.S. House of Representatives,KY,17,4,1820,General,"Kentucky 1820 U.S. House of Representatives, District 4"
ky.uscongress5.1820,U.S. House of Representatives,KY,17,5,NA,NA,NA
ky.uscongress6.1820,U.S. House of Representatives,KY,17,6,1820,General,"Kentucky 1820 U.S. House of Representatives, District 6"
ky.uscongress7.1820,U.S. House of Representatives,KY,17,7,1820,General,"Kentucky 1820 U.S. House of Representatives, District 7"
ky.uscongress7.1821,U.S. House of Representatives,KY,17,7,1821,Special,"Kentucky 1821 U.S. House of Representatives, District 7, Special"
ky.uscongress8.1820,U.S. House of Representatives,KY,17,8,1820,General,"Kentucky 1820 U.S. House of Representatives, District 8"
ky.uscongress8.1821,U.S. House of Representatives,KY,17,8,1821,Special,"Kentucky 1821 U.S. House of Representatives, District 8, Special"
ky.uscongress9.1820,U.S. House of Representatives,KY,17,9,1820,General,"Kentucky 1820 U.S. House of Representatives, District 9"
ky.uscongress10.1820,U.S. House of Representatives,KY,17,10,1820,General,"Kentucky 1820 U.S. House of Representatives, District 10"
ky.uscongress1.1822,U.S. House of Representatives,KY,18,1,1822,General,"Kentucky 1822 U.S. House of Representatives, District 1"
ky.uscongress2.1822,U.S. House of Representatives,KY,18,2,1822,General,"Kentucky 1822 U.S. House of Representatives, District 2"
ky.uscongress3.1822,U.S. House of Representatives,KY,18,3,1822,General,"Kentucky 1822 U.S. House of Representatives, District 3"
ky.uscongress4.1822,U.S. House of Representatives,KY,18,4,1822,General,"Kentucky 1822 U.S. House of Representatives, District 4"
ky.uscongress5.1822,U.S. House of Representatives,KY,18,5,1822,General,"Kentucky 1822 U.S. House of Representatives, District 5"
ky.uscongress6.1822,U.S. House of Representatives,KY,18,6,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6"
ky.uscongress7.1822,U.S. House of Representatives,KY,18,7,1822,General,"Kentucky 1822 U.S. House of Representatives, District 7"
ky.uscongress8.1822,U.S. House of Representatives,KY,18,8,1822,General,"Kentucky 1822 U.S. House of Representatives, District 8"
ky.uscongress9.1822,U.S. House of Representatives,KY,18,9,1822,General,"Kentucky 1822 U.S. House of Representatives, District 9"
ky.uscongress10.1822,U.S. House of Representatives,KY,18,10,1822,General,"Kentucky 1822 U.S. House of Representatives, District 10"
ky.uscongress11.1822,U.S. House of Representatives,KY,18,11,NA,NA,NA
ky.uscongress12.1822,U.S. House of Representatives,KY,18,12,1822,General,"Kentucky 1822 U.S. House of Representatives, District 12"
ky.uscongress1.1824,U.S. House of Representatives,KY,19,1,1824,General,"Kentucky 1824 U.S. House of Representatives, District 1"
ky.uscongress2.1824,U.S. House of Representatives,KY,19,2,1824,General,"Kentucky 1824 U.S. House of Representatives, District 2"
ky.uscongress3.1824,U.S. House of Representatives,KY,19,3,1824,General,"Kentucky 1824 U.S. House of Representatives, District 3"
ky.specialcongress3.1825,U.S. House of Representatives,KY,19,3,NA,NA,NA
ky.uscongress4.1824,U.S. House of Representatives,KY,19,4,1824,General,"Kentucky 1824 U.S. House of Representatives, District 4"
ky.uscongress5.1824,U.S. House of Representatives,KY,19,5,1824,General,"Kentucky 1824 U.S. House of Representatives, District 5"
ky.uscongress5.1826,U.S. House of Representatives,KY,19,5,1826,Special,"Kentucky 1826 U.S. House of Representatives, District 5, Special"
ky.uscongress6.1824,U.S. House of Representatives,KY,19,6,1824,General,"Kentucky 1824 U.S. House of Representatives, District 6"
ky.uscongress7.1824,U.S. House of Representatives,KY,19,7,1824,General,"Kentucky 1824 U.S. House of Representatives, District 7"
ky.uscongress8.1824,U.S. House of Representatives,KY,19,8,1824,General,"Kentucky 1824 U.S. House of Representatives, District 8"
ky.uscongress9.1824,U.S. House of Representatives,KY,19,9,1824,General,"Kentucky 1824 U.S. House of Representatives, District 9"
ky.uscongress10.1824,U.S. House of Representatives,KY,19,10,1824,General,"Kentucky 1824 U.S. House of Representatives, District 10"
ky.uscongress11.1824,U.S. House of Representatives,KY,19,11,1824,General,"Kentucky 1824 U.S. House of Representatives, District 11"
ky.uscongress12.1824,U.S. House of Representatives,KY,19,12,1824,General,"Kentucky 1824 U.S. House of Representatives, District 12"
ky.uscongress12.1826,U.S. House of Representatives,KY,19,12,1826,Special,"Kentucky 1826 U.S. House of Representatives, District 12, Special"
la.uscongress12thspecial.1812,U.S. House of Representatives,LA,12,NA,NA,NA,NA
la.uscongress13th.1812,U.S. House of Representatives,LA,13,NA,1812,General,Louisiana 1812 U.S. House of Representatives
la.uscongress.1814,U.S. House of Representatives,LA,14,NA,1814,General,Louisiana 1814 U.S. House of Representatives
la.uscongress.1816,U.S. House of Representatives,LA,15,NA,NA,NA,NA
la.uscongress.1818,U.S. House of Representatives,LA,16,NA,1818,Special,"Louisiana 1818 U.S. House of Representatives, Special"
la.uscongress.1820,U.S. House of Representatives,LA,17,NA,NA,NA,NA
la.uscongress1.1822,U.S. House of Representatives,LA,18,1,NA,NA,NA
la.uscongress2.1822,U.S. House of Representatives,LA,18,2,NA,NA,NA
la.uscongress3.1822,U.S. House of Representatives,LA,18,3,NA,NA,NA
la.uscongress1.1824,U.S. House of Representatives,LA,19,1,NA,NA,NA
la.uscongress2.1824,U.S. House of Representatives,LA,19,2,NA,NA,NA
la.uscongress3.1824,U.S. House of Representatives,LA,19,3,NA,NA,NA
ma.uscongress.1.1788,U.S. House of Representatives,MA,1,1,1788,General,"Massachusetts 1788 U.S. House of Representatives, District 1"
ma.uscongress.2.1788,U.S. House of Representatives,MA,1,2,1788,General,"Massachusetts 1788 U.S. House of Representatives, District 2"
